id;question;answer;source_doc;source_loc;tags;difficulty
465;Fýrat Üniversitesi akademik teþvik sürecinde kesin listelerin oluþturulmasý ve ödeme birimlerine bildirilmesi hangi tarihte sonuçlandýrýlacaktýr?;"Ýtirazlarýn deðerlendirilip nihai kararlarýn verilmesinin ardýndan 06 Þubat 2026 tarihinde kesin listeler oluþturulur; bu listeler teþvik almaya hak kazanan öðretim elemanlarýna ödeme yapýlabilmesi amacýyla ilgili harcama birimlerine ayný gün bildirilir; bu aþama akademik teþvik sürecinin idari ve teknik olarak tamamlandýðý son basamaðý temsil eder; kesinleþen listeler üzerinden tahakkuk iþlemleri baþlatýlýr ve ödemeler Þubat ayýnýn on beþinden itibaren hak sahiplerine ulaþtýrýlýr.";[Takvim];06 Þubat 2026;kesin liste|ödeme|harcama birimi|takvim;easy
466;Birim akademik teþvik komisyonlarý tarafýndan onaylanan ilgili evraklarýn dekanlýk veya müdürlüklerce üst komisyona gönderilme tarihi nedir?;"Dekanlýk veya Müdürlükler tarafýndan ilgili tüm akademik teþvik evraklarýnýn Akademik Teþvik Düzenleme, Denetleme ve Ýtiraz Komisyonuna gönderilmesi 16 Ocak 2026 tarihinde gerçekleþtirilmelidir; bu evraklar birim komisyonlarýnýn incelemesinden geçen YÖKSÝS ve FUATS çýktýlarýný ile deðerlendirme raporlarýný kapsar; takvimdeki bu tarihsel sýralama baþvurularýn üniversite düzeyindeki üst komisyon tarafýndan zamanýnda incelenebilmesi için kritik önem taþýr; belgelerin eksiksiz ve onaylý olmasý sürecin aksamamasý adýna zorunludur.";[Takvim];16 Ocak 2026;evrak gönderimi|dekanlýk|üst komisyon|onay;med
467;Akademik teþvik itirazlarýnýn üst komisyon tarafýndan deðerlendirilerek nihai karara baðlanmasý için öngörülen tarih aralýðý hangisidir?;"Elden teslim edilen itiraz dilekçeleri Akademik Teþvik Düzenleme, Denetleme ve Ýtiraz Komisyonu tarafýndan 01-05 Þubat 2026 tarihleri arasýnda deðerlendirilir; komisyon bu beþ günlük süre içerisinde tüm itirazlarý inceleyerek nihai kararýný verir; bu aþamadan sonra verilen kararlar üzerinde herhangi bir deðiþiklik yapýlamaz ve liste kesinleþmiþ kabul edilir; komisyonun nihai deðerlendirmeleri sonucunda hazýrlanan raporlar kesin listelerin oluþturulmasý için temel veri kaynaðýdýr.";[Takvim];01-05 Þubat 2026;nihai karar|itiraz deðerlendirme|üst komisyon|takvim;med
468;Öðretim elemanlarý akademik teþvik baþvurusu sýrasýnda kanýtlayýcý belgelerini birimlerine teslim ederken hangi yöntemi kullanmalýdýr?;"Akademik teþvik baþvurusu sürecinde öðretim elemanlarý sadece YÖKSÝS ve FUATS sistem çýktýlarýný imzalý olarak fiziksel ortamda birimlerine teslim ederler; ancak faaliyetlerine iliþkin tüm örnekler, kanýtlar ve destekleyici belgeler sadece elektronik ortamda sunulmalýdýr; bu dijital belgeler FUATS sistemi (https://akademiktesvik.firat.edu.tr) üzerinden yüklenerek inceleme komisyonlarýnýn eriþimine açýlýr; fiziksel dosya veya kaðýt evrak þeklinde kanýt teslimi yapýlmayacaðý takvim ve rehberde açýkça belirtilmiþtir.";[Takvim];02-11 Ocak 2026;kanýt|elektronik sunum|belge teslimi|fuats;easy
469;Akademik teþvik baþvurusu için araþtýrmacýlarýn hangi sistem üzerinden veri giriþi yapmalarý ve baþvuru tamamlamalarý gerekmektedir?;"Baþvurular için öncelikle YÖKSÝS (Yükseköðretim Kurulu Ortak Veri Tabaný) sistemine akademik faaliyet verilerinin girilmesi gerekmektedir; ardýndan bu verilerle birlikte FU Akademik Teþvik Sistemi (FUATS) üzerinden baþvuru yapýlýr; sistem adresi https://akademiktesvik.firat.edu.tr olarak belirlenmiþtir; her iki sistemden alýnan çýktýlarýn araþtýrmacý tarafýndan her sayfasýnýn imzalanmasý ve ilgili birim akademik teþvik baþvuru ve inceleme komisyonuna teslim edilmesiyle baþvuru süreci resmiyet kazanýr.";[Takvim] | [Baþvuru Rehberi];Madde 8 / 02-11 Ocak 2026;sistem|veri giriþi|yöksis|fuats;easy
470;Üst komisyonun baþvurularý deðerlendirme ve sonuçlarý ilan etme aþamalarý takvimde toplam kaç günlük bir süreyi kapsamaktadýr?;"Akademik Teþvik Düzenleme, Denetleme ve Ýtiraz Komisyonu'nun deðerlendirme süreci 17 Ocak ile 24 Ocak 2026 tarihleri arasýnda toplam sekiz günü kapsar; bu inceleme aþamasýnýn hemen ardýndan 25 Ocak 2026 tarihinde sonuçlar araþtýrmacýlara duyurulur; komisyon bu süreçte birimlerden gelen puan tablolarýný ve raporlarý inceleyerek doðruluðunu denetler; sonuçlarýn ilanýyla birlikte araþtýrmacýlarýn bireysel puanlarý kesinlik kazanýr ve ardýndan gelen beþ günlük yasal itiraz süreci baþlar.";[Takvim];17-25 Ocak 2026;deðerlendirme süresi|ilan tarihi|üst komisyon|takvim;med
471;Devlet üniversitelerinden vakýf üniversitelerine görevlendirilen öðretim elemanlarýnýn bu süreçteki akademik faaliyetleri teþvik puanlamasýnda dikkate alýnýr mý?;"Hayýr, Baþvuru Rehberi'ne göre devlet üniversitelerinden vakýf üniversitelerine görevlendirilen öðretim elemanlarý, vakýf üniversitelerindeki görevlendirmeleri devam ettiði sürece gerçekleþtirdikleri faaliyetlerden dolayý teþvik baþvurusunda bulunamazlar; bu süreçte üretilen hiçbir akademik çalýþma puanlamaya dahil edilmez; ancak vakýf üniversitesinden devlet üniversitesine geçen bir araþtýrmacý sadece devlet üniversitesindeki görev süresinde yaptýðý çalýþmalar için baþvurabilir; teþvik sistemi sadece devlet yükseköðretim kurumlarý bünyesindeki üretimleri desteklemeyi hedefler.";[Baþvuru Rehberi];Baþvuru Dokümanlarý Genel Bilgilendirme;vakýf üniversitesi|görevlendirme|baþvuru kýsýtlamasý|kurum;med
472;Akademik teþvik baþvurusu sýrasýnda öðretim elemanlarýnýn imzalamasý gereken dökümanlarla ilgili uygulanan kesin kural nedir?;"Akademik teþvik ödeneði baþvurusunda bulunacak araþtýrmacýlarýn sunduklarý YÖKSÝS çýktýsý ve FUATS sistem çýktýsýnýn her sayfasýný imzalý olarak teslim etmeleri zorunludur; sadece son sayfanýn imzalanmasý yeterli kabul edilmez; her sayfanýn imzalanmasý, araþtýrmacýnýn beyan ettiði verilerin doðruluðunu tüm detaylarýyla onayladýðý anlamýna gelir; imzalý bu dökümanlar birimlere teslim edilmeden baþvurunun geçerli sayýlmasý mümkün deðildir; kanýtlayýcý belgeler ise sistem üzerinden elektronik olarak sunulmaya devam eder.";[Baþvuru Rehberi];Madde 8;imza zorunluluðu|yöksis|fuats|baþvuru;easy
473;Baþka bir kurumdan naklen gelen öðretim elemanlarýnýn teþvik baþvurusu yaparken sunmasý gereken ek belgeler nelerdir?;"Öðretim elemaný baþka bir kurumdan gelmiþ ise araþtýrmacýnýn önceki kurumda ve üniversitemizde gerçekleþtirdiði faaliyetleri ayrýntýlý belirten Kurum Deðiþikliði Beyan Formunun sunulmasý zorunludur; ayrýca YÖKSÝS çýktýsýnda her bir faaliyetin hangi kurumda (üniversite, enstitü vb.) gerçekleþtirildiði açýkça gösterilmelidir; bu belgeler faaliyetlerin akademik teþvik yönetmeliðine uygun ortamlarda üretilip üretilmediðinin denetlenebilmesi için esastýr; beyan formu bulunmayan baþvurular kurum deðiþikliði durumunda incelemeye uygun görülmeyebilir.";[Baþvuru Rehberi];Madde 8;kurum deðiþikliði|beyan formu|yöksis|naklen atama;med
474;Akademik teþvik puaný hesaplanýrken araþtýrmacýnýn unvaný hangi tarih itibarýyla esas alýnarak ödeme tutarý belirlenir?;"Puanlarýn ve ödemelerin hesaplanmasýnda öðretim elemanýnýn teþvik baþvurusu yaptýðý tarihteki kadro unvaný esas alýnacaktýr; baþvuru döneminden sonra gerçekleþen unvan deðiþiklikleri o yýlýn teþvik puanlamasýna veya ödeme oranýna yansýtýlmaz; unvanlara göre belirlenen oranlar (Profesör %100, Doçent %90, Dr. Öðr. Üyesi %80, Arþ. Gör./Öðr. Gör. %70) bu tarihsel kadro durumu üzerinden uygulanýr; dolayýsýyla araþtýrmacýnýn 02-11 Ocak 2026 tarihlerindeki resmi kadro unvaný ödemeye temel teþkil eder.";[Baþvuru Rehberi] | [Yönetmelik];Madde 9 / Madde 8(8);kadro unvaný|baþvuru tarihi|ödeme oraný|unvan;hard
475;Döner sermaye üzerinden yürütülen dýþ kaynaklý projelerin akademik teþvik kapsamýnda puanlanabilmesi için gereken asgari þartlar nelerdir?;"Döner sermaye üzerinden yapýlan projelerin deðerlendirilebilmesi için üç temel þart aranýr: projenin Ar-Ge niteliði taþýmasý; toplam proje süresinin dokuz aydan az olmamasý; projenin maddi desteðinin üniversiteye aktarýlmýþ olmasý; bu þartlarý saðlayan yurt içi veya yurt dýþý dýþ kaynaklý projeler puanlamaya dahil edilir; süresi 9 aydan az olan veya Ar-Ge niteliði taþýmayan döner sermaye iþleri kapsam dýþýdýr; ayrýca projenin baþarýyla sonuçlanmýþ ve sonuç raporunun onaylanmýþ olmasý belgelendirilmelidir.";[Baþvuru Rehberi] | [Yönetmelik];Madde 11 / Madde 7(2);döner sermaye|proje|Ar-Ge|bütçe;hard
476;Yükseköðretim kurumlarý tarafýndan desteklenen Bilimsel Araþtýrma Projeleri (BAP) akademik teþvik puanlamasýna dahil edilebilir mi?;"Hayýr, Baþvuru Rehberi'nin kapsam dýþý projeleri düzenleyen 12. maddesi uyarýnca yükseköðretim kurumlarý tarafýndan desteklenen bilimsel araþtýrma projeleri (BAP) deðerlendirmeye alýnmaz; benzer þekilde TÜBÝTAK-1002 projeleri, araþtýrma altyapýsý oluþturma projeleri, giriþimcilik ve öðrenci projeleri de puanlama dýþýdýr; araþtýrmacýlarýn bu tür projeleri FUATS sistemine girmemeleri gerekmektedir; sadece yönetmelikte kapsam dahilinde belirtilen (TÜBÝTAK 1001, 1003, 1005, Ufuk Avrupa vb.) ve Ar-Ge niteliði taþýyan projeler için teþvik puaný talep edilebilir.";[Baþvuru Rehberi];Madde 12;BAP|proje|kapsam dýþý|tübitak 1002;easy
477;TÜBÝTAK projeleri için akademik teþvik baþvurusu sýrasýnda FUATS sistemine bilimsel kurul deðerlendirme raporu yüklenmeli midir?;"Baþvuru Rehberi'nin 13. maddesine göre bilimsel kurul deðerlendirme raporlarý TÜBÝTAK projeleri için geçerli deðildir ve sisteme yüklenmesi zorunlu deðildir; TÜBÝTAK projeleri için destekleyen kuruluþ (TÜBÝTAK) tarafýndan projenin sonuçlandýðýný veya kapatýldýðýný gösteren onaylý belgenin sunulmasý yeterlidir; ancak TÜBÝTAK dýþýndaki diðer ulusal veya uluslararasý özel/resmi kurum ve kuruluþlar tarafýndan desteklenen projeler için bu tür deðerlendirme raporlarýnýn sunulmasý gerekebilir; araþtýrmacýlar proje türüne göre istenen belgeleri dikkatle kontrol etmelidir.";[Baþvuru Rehberi];Madde 13;tübitak|proje belgeleri|deðerlendirme raporu|fuats;med
478;Araþtýrma faaliyetinin puanlanabilmesi için aranan 'üniversite yönetim kurulu resmi görevlendirmesi' þartý nedir?;"Araþtýrma faaliyetlerinin (Proje maddesi dýþýndaki sistematik çalýþmalar) deðerlendirilebilmesi için araþtýrmacýnýn kurum dýþýnda bir üniversite veya araþtýrma merkezinde en az 4 ay süreyle tam zamanlý görevlendirilmiþ olmasý þarttýr; bu görevlendirmenin mutlaka üniversite yönetim kurulu tarafýndan resmi bir izin kararý ile onaylanmýþ olmasý gerekir; resmi görevlendirme belgesi bulunmayan, sadece kiþisel imkanlarla yürütülen araþtýrmalar puanlanmaz; ayrýca araþtýrmanýn baþarýyla sonuçlandýðýna dair ilgili kurumun onaylý sonuç raporu da baþvuruya eklenmelidir.";[Baþvuru Rehberi] | [Yönetmelik];Madde 15 / Madde 7(3);araþtýrma|görevlendirme|yönetim kurulu|izin;hard
479;Dergilerde yayýmlanan makalelerin akademik teþvik kapsamýnda deðerlendirilebilmesi için hangi künye bilgilerinin sunulmasý zorunludur?;"Dergilerde yayýmlanan makalelerin puanlanabilmesi için ilgili derginin basýlmýþ olmasý veya elektronik ortamda yayýmlanmasý esastýr; deðerlendirme için makalenin cilt, sayfa ve yýl bilgileri ile dergi künyesinin açýk bir þekilde sunulmasý zorunludur; kabul edilmiþ olsa dahi henüz yayýmlanmamýþ veya künye bilgileri oluþmamýþ yayýnlar teþvik kapsamý dýþýndadýr; yayýnlarýn mutlaka 2025 takvim yýlý içerisinde yayýmlanmýþ olmasý þarttýr; ISSN numarasý bulunmayan dergilerde yayýmlanan çalýþmalar deðerlendirmeye alýnmaz; çevrimiçi yayýnlarda dergi web sitesi ve makale linki beyan edilmelidir.";[Baþvuru Rehberi] | [Yönetmelik];Madde 21 / Madde 7(4);dergi|künye|makale|yayýn;easy
480;Akademik teþvik kapsamýnda 'editör kurulu üyeliði' faaliyeti için puanlama yapýlmakta mýdýr?;"Baþvuru Rehberi'nin 25. maddesinde yer alan güncel düzenlemeye göre editör kurulu üyelikleri akademik teþvik kapsamýndan tamamen çýkartýlmýþtýr; bu tür faaliyetler için puan verilmez; dergi faaliyetlerinde sadece hakemli dergilerde 'editör' veya 'baþ editör' olduðunu kanýtlayan araþtýrmacýlar puan alabilir; çok editörlü dergilerde ise sadece baþ editör teþvik kapsamýnda deðerlendirilir; araþtýrmacýlarýn editör olduklarýný gösteren web sitesi ekran görüntülerini ve derginin taranan indekslerini kanýt olarak sunmalarý þarttýr; alan editörlüðü veya danýþma kurulu üyeliði kapsam dýþýdýr.";[Baþvuru Rehberi];Madde 25;editörlük|editör kurulu|kapsam dýþý|dergi;med
481;Kitaplarýn akademik teþvik puanlamasýna dahil edilebilmesi için sahip olmasý gereken zorunlu numara nedir?;"Kitaplarýn (yazarlýk, bölüm yazarlýðý veya editörlük) deðerlendirilebilmesi için ISBN (Uluslararasý Standart Kitap Numarasý) numarasýnýn olmasý esastýr; ISBN numarasý bulunmayan eserler kitap kategorisinde puanlanamaz; ayrýca kitabýn 2025 yýlý içerisinde ilk kez yayýmlanmýþ olmasý þarttýr; daha önce deðerlendirilen bir kitabýn yeni baskýsý puanlamaya dahil edilmez; sýnavlar için hazýrlanan soru kitaplarý ve sergiler kapsamýnda hazýrlanan küratörlük kitaplarý deðerlendirme dýþý tutulmuþtur; araþtýrmacýlar yayýneviyle yapýlan sözleþme veya davet mektubu gibi evraklarý da belgelendirme sürecinde sunmalýdýr.";[Baþvuru Rehberi] | [Yönetmelik];Madde 19 / Madde 7(4);kitap|ISBN|yayýn|kapsam dýþý;easy
482;Bir yayýnevinin 'tanýnmýþ uluslararasý yayýnevi' sayýlabilmesi için hangi dilde yayýn yapma ve süre þartý aranýr?;"Yönetmeliðin 3. maddesinin (l) bendi uyarýnca tanýnmýþ uluslararasý yayýnevi; en az beþ yýldýr uluslararasý düzeyde düzenli faaliyet yürüten; Türkçe dýþýndaki dillerde ayný alanda farklý yazarlara ait en az yirmi kitap yayýmlamýþ olan yayýnevidir; bu kriterleri saðlayan yayýnevlerinden çýkan özgün bilimsel kitaplar uluslararasý kategoride puanlanýr; araþtýrmacýlarýn yayýnevinin bu özellikleri taþýdýðýný gösteren belge veya internet sayfasý adreslerini kanýt olarak sunmalarý istenir; sadece Türkçe yayýn yapan yayýnevleri bu kapsamda deðerlendirilemez.";[Yönetmelik] | [Baþvuru Rehberi];Madde 3(l) / Madde 24;uluslararasý yayýnevi|dil þartý|yayýn|kitap;hard
483;Müzik ve Konservatuvar bölümleri için ses veya görüntü kayýtlarýnýn puanlanmasýnda sunulmasý gereken zorunlu belge nedir?;"Müzik ve Konservatuvar bölümlerindeki öðretim elemanlarýnýn performansa dayalý ses veya görüntü kayýtlarýnýn deðerlendirilebilmesi için CD, DVD veya benzeri ortamdaki kayýtlara yönelik bandrol verildiðini gösterir belgenin sunulmasý zorunludur; bandrol, çalýþmanýn yayýmlandýðýný ve telif haklarýnýn resmiyetini kanýtlar; ayrýca etkinliðin ulusal veya uluslararasý niteliðini gösteren dökümanlar ile 2025 yýlýnda yayýmlandýðýna dair kanýtlar sisteme yüklenmelidir; yayýmlanmamýþ veya bandrolü bulunmayan þahsi kayýtlar teþvik kapsamý dýþýnda kalýr.";[Baþvuru Rehberi];Madde 28;bandrol|müzik|ses kaydý|konservatuvar;med
484;Tasarým faaliyetlerinin teþvik kapsamýnda puanlanabilmesi için ticarileþme veya tescil ile ilgili þartlar nelerdir?;"Tasarýmýn deðerlendirilebilmesi için baþvuru sahibinin kendi alaný ile ilgili olmasý ve bilim, teknoloji, sanata katký saðlayýcý nitelikte olmasý þarttýr; tasarýmýn kamu kurumlarý veya özel hukuk tüzel kiþileriyle yapýlan bir sözleþme uyarýnca uygulanmýþ veya ticarileþtirilmiþ olmasý ya da resmi mercilerce tescil edilmiþ olmasý zorunludur; tasarýmlarýn deðerlendirilmesinde tasarýmýn sonuçlandýðý veya tescil edildiði yýlýn 2025 olmasý esas alýnýr; tescilsiz ve ticarileþmemiþ taslak aþamasýndaki çizimler puanlanmaz; baþvuru sýrasýnda tasarým dosyasý ve uygulama belgesi sunulmalýdýr.";[Baþvuru Rehberi] | [Yönetmelik];Madde 29 / Madde 7(5);tasarým|ticarileþme|tescil|uygulama;hard
485;Sergi faaliyetlerinin uluslararasý nitelikte sayýlabilmesi için hangi üniversite birimlerinden onay alýnmasý gerekmektedir?;"Bir serginin, bienalin veya konserin uluslararasý olarak deðerlendirilebilmesi için serginin uluslararasý nitelikte olduðunun ilgili bölüm, anabilim dalý veya anasanat dalý kurullarýnca onaylanmýþ olmasý þarttýr; araþtýrmacýlarýn bu birim kurullarýndan alýnan resmi onay kararýný veya tutanaðýný FUATS sistemine yüklemeleri zorunludur; ayrýca serginin akademik faaliyet alanýnda gerçekleþtirilmiþ sanatsal veya bilimsel niteliði haiz olmasý esastýr; eðitim-öðretim faaliyetleri veya öðrenci kulüpleri kapsamýnda düzenlenen sergiler, yurt dýþýnda olsa dahi akademik teþvik kapsamýnda deðerlendirilmez.";[Baþvuru Rehberi] | [Yönetmelik];Madde 31 / Madde 6(6);sergi|uluslararasý onay|kurul kararý|sanatsal etkinlik;med
486;Sergi ve konser gibi sanatsal etkinliklerde ayný yýl içerisinde tekrarlayan faaliyetler için puanlama kýsýtlamasý nedir?;"Ayný yýl içerisinde tekrar eden sergi, konser, festival ve gösterilerin puanlanmasýnda en çok iki tekrar dikkate alýnýr; ilk etkinlik tam puanla deðerlendirilirken, ikinci tekrar etkinlik için mevcut faaliyet puanýnýn %50'si (yarýsý) uygulanýr; ikiden fazla tekrar eden ayný içerikli faaliyetler için hiçbir puanlama yapýlmaz; bu kural araþtýrmacýlarýn ayný eserle birden fazla kurumda yaptýklarý etkinliklerin mükerrer puan getirmesini sýnýrlandýrmak amacýyla getirilmiþtir; her bir etkinliðin tarihini ve yerini kanýtlayýcý belgeler (afiþ, program, davetiye vb.) sisteme ayrý ayrý yüklenmelidir.";[Baþvuru Rehberi] | [Yönetmelik];Madde 32 / Madde 7(6);sergi|tekrarlayan etkinlik|puan kýsýtlamasý|konser;med
487;Atýf faaliyetlerinin puanlanmasýnda araþtýrmacýnýn kendi yayýnlarýna yaptýðý atýflar (self-citation) teþvik kapsamýna dahil edilir mi?;"Hayýr, Yönetmeliðin 7. maddesinin 8. fýkrasý ve Baþvuru Rehberi uyarýnca baþvuru sahibinin kendi yayýnlarýna veya eserlerine yaptýðý atýflar kesinlikle kapsam dýþýdýr; atýf puaný alabilmek için atýf yapan eserin mutlaka 'baþka araþtýrmacýlar' tarafýndan yayýmlanmýþ olmasý þarttýr; ayrýca baþvuru sahibinin sadece devlet yükseköðretim kurumlarýnda görev yaptýðý sýrada ürettiði yayýnlarýna yapýlan atýflar geçerli kabul edilir; vakýf üniversitesinde veya yurt dýþýndaki kurumlarda üretilen eserlere yapýlan atýflar puanlanmaz; atýflarýn 2025 yýlýndaki yayýnlarda yer almasý zorunludur.";[Baþvuru Rehberi] | [Yönetmelik];Madde 37 / Madde 7(8);atýf|self-citation|kapsam dýþý|baþka araþtýrmacý;med
488;Atýf puanlamasýnda ayný esere bir makalenin farklý bölümlerinde yapýlan çoklu atýflar nasýl deðerlendirilmektedir?;"Ayný yayýn veya esere bir kitabýn ya da makalenin farklý bölümlerinde veya kýsýmlarýnda yapýlan atýflar, kaç kez tekrarlanýrsa tekrarlansýn yalnýzca bir atýf olarak deðerlendirilir; ancak bu kuralýn bir istisnasý mevcuttur: Bölüm yazarlarý farklý olan kitaplarda, farklý bölümlerde ayný esere yapýlan her bir atýf için ayrý puan deðerlendirmesi yapýlýr; araþtýrmacýlar bu durumu kanýtlamak için ilgili kitabýn farklý bölümlerindeki kaynakçalarý ve bölüm yazarý bilgilerini içeren belgeleri sunmalýdýr; aksi takdirde mükerrer atýflar tek puan üzerinden iþlem görür.";[Baþvuru Rehberi] | [Yönetmelik];Madde 37 / Madde 7(8);atýf|mükerrer atýf|kitap bölümü|puanlama;hard
489;Tebliðlerin uluslararasý sayýlabilmesi için katýlýmcý ülkeler ve konuþmacý oranlarý ile ilgili aranan þartlar nelerdir?;"Tebliðin sunulduðu etkinliðin uluslararasý sayýlabilmesi için Türkiye dýþýnda en az beþ farklý ülkeden sözlü teblið sunan konuþmacýnýn katýlým saðlamasý þarttýr; ayrýca etkinlikte sunulan toplam tebliðlerin yarýdan fazlasýnýn (%51 ve üzeri) Türkiye dýþýndan katýlýmcýlar tarafýndan sunulmuþ olmasý esastýr; sadece yabancý katýlýmcý sayýsýnýn çok olmasý yeterli olmayýp ülke çeþitliliði kriteri aranýr; ek olarak etkinliðin uluslararasý nitelik taþýdýðýna dair üniversite yönetim kurulu kararý bulunmalýdýr; bu þartlarý saðlamayan etkinliklerde sunulan bildiriler puanlanmaz.";[Baþvuru Rehberi] | [Yönetmelik];Madde 40 / Madde 7(9);teblið|uluslararasý|ülke sayýsý|konuþmacý;hard
490;Hangi tür ödüller akademik teþvik puanlamasý kapsamýnda kesinlikle 'kapsam dýþý' olarak kabul edilmektedir?;"Tebliðler için verilen ödüller; dergi hakemlikleri için yayýnevleri tarafýndan verilen ödüller; yayýn teþvik ödülleri; araþtýrmacýnýn kadrosunun bulunduðu kurum (üniversite) tarafýndan verilen ödüller; mansiyon ödülleri; teþekkür ve baþarý belgeleri; plaketler, burslar ve onur belgeleri kesinlikle puanlama dýþýdýr; ödülün puanlanabilmesi için bilimsel nitelik taþýmasý, sürekli verilmesi (en az 5 kez), akademik bir jüri tarafýndan deðerlendirilmiþ olmasý ve araþtýrmacýnýn uzmanlýk alaný ile ilgili olmasý þarttýr; ödülün 2025 yýlýnda alýnmýþ olmasý belgelenmelidir.";[Baþvuru Rehberi] | [Yönetmelik];Madde 45 / Madde 7(10);ödül|kapsam dýþý|mansiyon|üniversite ödülü;med
491;Akademik Teþvik Ödeneði Yönetmeliði uyarýnca en yüksek Devlet memuru brüt aylýðý tutarý nasýl hesaplanmaktadýr?;"En yüksek Devlet memuru brüt aylýðý; 1.500 aylýk gösterge rakamý ile 8.000 ek gösterge rakamýnýn toplamý olan 9.500 gösterge rakamýnýn, memur aylýk katsayýsý ile çarpýmý sonucu bulunan tutardýr; bu brüt tutar akademik teþvik ödemesi formülünde temel çarpan olarak kullanýlýr; ödeme miktarý bu brüt tutarýn, araþtýrmacýnýn kadro unvanýna göre belirlenen oran (%70-100 arasý) ve hesaplanan akademik teþvik puanýnýn yüze bölünmesiyle elde edilen katsayý ile çarpýlmasýyla bulunur; memur maaþ katsayýlarýndaki deðiþiklikler ödemelere doðrudan yansýr.";[Yönetmelik];Madde 3(ç) / Madde 8(1);brüt aylýk|gösterge|maaþ katsayýsý|hesaplama;hard
492;Akademik Teþvik Düzenleme, Denetleme ve Ýtiraz Komisyonu üyeleri hangi kriterlere göre ve kim tarafýndan seçilir?;"Üst komisyon üyeleri, yüksek akademik teþvik puanýna sahip öðretim üyeleri arasýndan; her doçentlik temel alanýndan en az bir kiþi olmak üzere; rektörün her bir üyelik için önereceði üç aday arasýndan üniversite senatosu tarafýndan seçilir; komisyon baþkanlýðýný rektörün görevlendirdiði bir rektör yardýmcýsý yürütür; komisyon, baþkan hariç en az dört üyeden oluþur ve iki yýl süreyle görev yapmak üzere belirlenir; süresi biten üyelerin yeniden seçilmesi mümkündür; üyeliðin boþalmasý halinde ayný usulle yeni üye atamasý yapýlýr.";[Yönetmelik];Madde 4(1);üst komisyon|seçim|senato|rektör yardýmcýsý;med
493;Akademik teþvik komisyonlarýnda kararlarýn alýnmasý ve oylama usulü ile ilgili uygulanan temel yasaklar nelerdir?;"Hem üst komisyon hem de birim komisyonlarý, baþkan dahil üye tam sayýsýnýn salt çoðunluðu ile toplanýr ve katýlanlarýn salt çoðunluðu ile karar alýr; oylarýn eþitliði durumunda komisyon baþkanýnýn oyu yönünde karar verilmiþ sayýlýr; en kritik kural ise komisyon üyelerinin oylama sýrasýnda çekimser oy kullanamayacak olmalarýdýr; her üye kabul veya ret yönünde görüþ bildirmek zorundadýr; bu kural kararlarýn netleþmesini ve sürecin aksamamasýný saðlar; tüm komisyon kararlarý tutanak altýna alýnarak imza ile onaylanýr.";[Yönetmelik];Madde 4(2) / Madde 5(2);oylama|çekimser oy|karar yeter sayýsý|komisyon;med
494;Birim akademik teþvik baþvuru ve inceleme komisyonu üyeleri hangi makam tarafýndan ve ne kadar süreyle seçilir?;"Birim komisyonu üyeleri, ilgili bölüm, anabilim dalý veya anasanat dalý baþkanlýklarý bünyesinde; ilgili birimin Yönetim Kurulu tarafýndan seçilir; seçimlerde yüksek akademik teþvik puanýna sahip olan öðretim elemanlarý tercih edilir; komisyon en az üç üyeden oluþur ve baþkanlýðýný birim baþkaný yürütür; birimde yeterli öðretim elemaný bulunmamasý halinde üyeler yakýn alanlardaki personelle tamamlanabilir; üyelerin görev süresi iki yýldýr ve süresi bitenler yeniden seçilebilir; birim komisyonu faaliyetlerin yönetmeliðe uygun deðerlendirilmesinden doðrudan sorumludur.";[Yönetmelik];Madde 5(1);birim komisyonu|seçim|yönetim kurulu|görev süresi;med
495;Akademik teþvik ödemeleri her yýl hangi tarihte baþlar, ne kadar sürer ve hangi vergilere tabidir?;"Akademik teþvik ödeneði, faaliyet yýlýný takip eden yýlýn Þubat ayýnýn on beþinden itibaren baþlatýlýr ve on iki ay süreyle her ayýn on beþinde ödenir; örneðin 2025 faaliyetleri için ödemeler 15 Þubat 2026'da baþlar; mali hükümler uyarýnca bu ödenek damga vergisi hariç herhangi bir vergiye tabi tutulmaz; ayrýca bu ödeme tazminat, döner sermaye ek ödemesi veya diðer ücretlerin hesabýnda matrah olarak dikkate alýnmaz; ödeme yapýlabilmesi için araþtýrmacýnýn teþvik puanýnýn en az 30 olmasý ve aylýk alýyor olmasý þarttýr.";[Yönetmelik];Madde 10(2) / Madde 10(3);ödeme tarihi|vergi muafiyeti|on iki ay|þubat;easy
496;Akademik teþvik puaný hesaplanýrken her bir akademik faaliyet türünün toplam puan içindeki aðýrlýðý nasýl sýnýrlandýrýlmýþtýr?;"Yönetmeliðin 1. maddesi uyarýnca akademik teþvik puaný hesaplanýrken her bir faaliyet türünün (örneðin sadece yayýn veya sadece proje) aðýrlýðý toplam puanýn %30’unu geçemez; bu kural araþtýrmacýlarýn tüm puanlarýný tek bir kategoriden toplamasýný engellemek ve akademik faaliyetlerini farklý alanlara yaymalarýný saðlamak amacýyla getirilmiþtir; toplam akademik teþvik puaný ise hiçbir durumda 100 puaný aþamaz; nihai puan hesaplanýrken Tablo 4'te belirlenen üst sýnýrlar ve oranlar dikkate alýnýr; sistem otomatik olarak bu %30'luk tavaný uygular.";[Yönetmelik];Madde 1(1) / Madde 8(3);aðýrlýk sýnýrý|puanlama|üst sýnýr|yüzde otuz;hard
